uni,Country,Short Form
"Birkbeck, University of London",United Kingdom,BBK
Heriot-Watt University,United Kingdom,HU
Hertfordshire International College,United Kingdom,HIC
Hull University Business School,United Kingdom,HUBS
Keele University,United Kingdom,KU
Keele University International College,United Kingdom,KUIC
"The College, Swansea University",United Kingdom,TCSU
The University of Exeter,United Kingdom,UOE
The University of Winchester,United Kingdom,UOW
Ulster University,United Kingdom,UU
University of Aberdeen,United Kingdom,UOA
University of Salford,United Kingdom,UOS
Loughborough University,United Kingdom,LU
University of Sheffield,United Kingdom,UOS
Royal Veterinary College,United Kingdom,RVC
Northumbria University London Campus,United Kingdom,NULC
Lancaster University,United Kingdom,LU
De Montfort University,United Kingdom,DMU
University of Central Lancashire (UCLan),United Kingdom,UCLan
University of Kent,United Kingdom,UKC
Brunel University London - Online,United Kingdom,BULO
Cardiff University,United Kingdom,CU
University of Greenwich,United Kingdom,UOG
Queen's University Belfast,United Kingdom,QUB
University of Bath,United Kingdom,UOB
Aberystwyth University,United Kingdom,AU
Harper Adams University,United Kingdom,HAU
The Open University UK,United Kingdom,OU
"City, University of London",United Kingdom,UOL
University of Sussex Online,United Kingdom,UOS
University of the West of England (UWE Bristol),United Kingdom,UWE Bristol
"University of the West of England, Bristol",United Kingdom,UWE
University of the West of Scotland,United Kingdom,UWS
University of Westminster,United Kingdom,UOW
University of Wolverhampton,United Kingdom,UOW
University of York,United Kingdom,UOY
WMG University of Warwick,United Kingdom,UOW
Itchen College,United Kingdom,IC
Leicester College,United Kingdom,LC
Leicester Montessori School,United Kingdom,LMS
Letterkenny Institute of Technology,United Kingdom,IET
Limerick Institute of Technology,United Kingdom,IET
The London Academy of Trading,United Kingdom,AL
London School of Design and Marketing,United Kingdom,London DNM
Mont Rose College,United Kingdom,MRC
MPW Colleges,United Kingdom,MPWC
National College of Ireland,United Kingdom,CEI
Northeastern University London,United Kingdom,NUL
Oxford Sixth Form College,United Kingdom,OSFC
Technological University of the Shannon: Midlands Midwest,United Kingdom,TUS
Waterford Institute of Technology,United Kingdom,wit
Southern Cross University,Australia,SCU
University of the Sunshine Coast,Australia,UniSC
Swinburne Online,Australia,SO
La Trobe University Sydney Campus,Australia,LaTro
Sydney Institute of Business and Technology,Australia,SIBT
Western Sydney University International College,Australia,WSUIC
"Western Sydney University, The College",Australia,WSUC
South Australian Institute of Business and Technology,Australia,SAIBT
University of Canberra College,Australia,UC
Charles Sturt University,Australia,CSU
University of New England,Australia,UNE
Dar Al-Hekma University,Saudia Arabia,DAHU
University of Hafr Al Batin,Saudia Arabia,AH
Al Baha University,Saudia Arabia,ABU
Northern Borders University,Saudia Arabia,NBU
University of Business and Technology,Saudia Arabia,SBB
Al Yamamah University,Saudia Arabia,AYU
Shaqra University,Saudia Arabia,SU
University of Bisha,Saudia Arabia,UAB
Dar Al Uloom University,Saudia Arabia,DAUU
Fahad Bin Sultan University,Saudia Arabia,FBSU
American Univrsity of RAS AI Khaimah (AURAK),Dubai,AURAK
IMT Business School Dubai,Dubai,IMT
Rochester Institute of Technology Rit Dubai,Dubai,RIT
Heriot Watt University Dubai Campus,Dubai,HWU
London American City College (LACC) (ICBEST),Dubai,LACC
Emirates College of Technology,Dubai,ECT
Institute of Management Technology Dubai,Dubai,IMT Dubai
Dubai Pharmacy College,Dubai,DPC
Ras al-Khaimah Medical and Health Sciences University,Dubai,RAKMHSU
City University College of Ajman,Dubai,CUA
Al Ghurair University,Dubai,AGU
Emirates College for Advanced Education,Dubai,ECAE
Emirates Academy of Hospitality Management,Dubai,EAHM
Skyline University College,Dubai,SUC
Mohammed Bin Rashid School of Government,Dubai,MBRSG
Canadian University of Dubai,Dubai,CUD
Al Ain University of Science and Technology,Dubai,AAU
British University in Dubai,Dubai,BUD
Gulf Medical University,Dubai,GMU
American University in the Emirates,Dubai,AUE
Abu Dhabi University,Dubai,ADU
University of Wollongong in Dubai,Dubai,UWD
All Hallows College,Ireland,AHC
Carlow College,Ireland,CAO
Institute of Public Administration ,Ireland,IPA
Institute of Technology Talee- South Campus,Ireland,MTU
Saint Patrick's College Maynooth,Ireland,GCP
Marino Institute of Education,Ireland,MIE
Karlsruhe Institute of Technology (KIT),Germany,KU
Kempten University of Applied Sciences,Germany,KU
IU International University of Applied Sciences,Germany,IU
Jade University of Applied Sciences Wilhelmshaven Oldenburg Elsfleth,Germany,JGU
Johannes Gutenberg University Mainz,Germany,JGU
Justus Liebig University Giessen,Germany,Lie Uni
International School of Management (ISM),Germany,ISM
htw saar - University of Applied Sciences,Germany,FH
Hof University of Applied Sciences,Germany,FH
HSB Hochschule Bremen � City University of Applied Sciences,Germany,HSB
HSBA Hamburg School of Business Administration,Germany,HSBA 
HTW Berlin - University of Applied Sciences,Germany,HTW
HTW Dresden - University of Applied Sciences,Germany,HTW
Hochschule Mannheim - University of Applied Sciences,Germany,HMU
Hochschule Merseburg,Germany,HM
Hochschule Niederrhein - University of Applied Sciences,Germany,FH
"Hochschule Wismar - University of Applied Sciences, Technology, Business and Design",Germany,HU
Hochschule Bonn-Rhein-Sieg,Germany,H-BRS
Hochschule der Bayerischen Wirtschaft (HDBW),Germany,HDBW
Hochschule Emden/Leer - University of Applied Sciences,Germany,FH
Hochschule Fresenius - University of Applied Sciences,Germany,FH
Hertie School,Germany,FH
HFU Business School,Germany,HFU
HHL Leipzig Graduate School of Management,Germany,FH
HKA - Karlsruhe University of Applied Sciences,Germany,HU
Heidelberg University,Germany,HU
Heilbronn University of Applied Sciences,Germany,HU
Heinrich Heine University D�sseldorf,Germany,HU
Hamburg University of Technology,Germany,HU
Hamm-Lippstadt University of Applied Sciences,Germany,HU
Hannover Medical School,Germany,�FH
Harz University of Applied Sciences,Germany,FH
Hasso Plattner Institute (HPI),Germany,HPI
Goethe University Frankfurt,Germany,GU
HafenCity University Hamburg,Germany,HU
Hamburg University of Applied Sciences,Germany,HU
Furtwangen University,Germany,FU
German International University (GIU),Germany,GIU
German Sport University Cologne,Germany,Universit�t zu K�ln
Friedrich Schiller University Jena,Germany,Uni Jena
Fulda University of Applied Sciences,Germany,FHM
FOM University of Applied Sciences,Germany,FOM
Frankfurt School of Finance and Management,Germany,FHM
Frankfurt University of Applied Sciences,Germany,FHM
FHM - Fachhochschule des Mittelstands,Germany,FHM
Flensburg University of Applied Sciences,Germany,FH
European University Viadrina,Germany,EUV
Fachhochschule Erfurt,Germany,FH
FH Aachen University of Applied Sciences,Germany,FH Aachen
ESCP Business School,Germany,ESCP
ESMT Berlin,Germany,ESMT
Esslingen University of Applied Sciences,Germany,FU
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
